Name,Traders Family
Start Date,8/1/21
End Date,12/31/23

Date,Redownloads,First-Time Downloads
8/1/21,1.0,15.0
8/2/21,5.0,12.0
8/3/21,3.0,16.0
8/4/21,9.0,13.0
8/5/21,7.0,11.0
8/6/21,1.0,15.0
8/7/21,3.0,17.0
8/8/21,8.0,22.0
8/9/21,6.0,10.0
8/10/21,4.0,20.0
8/11/21,3.0,20.0
8/12/21,4.0,22.0
8/13/21,7.0,10.0
8/14/21,2.0,19.0
8/15/21,9.0,9.0
8/16/21,4.0,15.0
8/17/21,7.0,23.0
8/18/21,13.0,28.0
8/19/21,4.0,22.0
8/20/21,7.0,16.0
8/21/21,6.0,17.0
8/22/21,6.0,13.0
8/23/21,4.0,21.0
8/24/21,2.0,16.0
8/25/21,12.0,18.0
8/26/21,2.0,13.0
8/27/21,2.0,9.0
8/28/21,2.0,8.0
8/29/21,0.0,14.0
8/30/21,5.0,10.0
8/31/21,5.0,11.0
9/1/21,7.0,19.0
9/2/21,8.0,17.0
9/3/21,1.0,12.0
9/4/21,1.0,15.0
9/5/21,0.0,12.0
9/6/21,11.0,15.0
9/7/21,3.0,20.0
9/8/21,6.0,11.0
9/9/21,3.0,7.0
9/10/21,5.0,11.0
9/11/21,6.0,15.0
9/12/21,5.0,15.0
9/13/21,3.0,11.0
9/14/21,3.0,22.0
9/15/21,3.0,16.0
9/16/21,3.0,14.0
9/17/21,5.0,18.0
9/18/21,3.0,23.0
9/19/21,1.0,10.0
9/20/21,6.0,17.0
9/21/21,4.0,17.0
9/22/21,2.0,9.0
9/23/21,4.0,19.0
9/24/21,3.0,9.0
9/25/21,6.0,16.0
9/26/21,3.0,12.0
9/27/21,8.0,10.0
9/28/21,6.0,13.0
9/29/21,3.0,17.0
9/30/21,5.0,15.0
10/1/21,6.0,14.0
10/2/21,5.0,15.0
10/3/21,3.0,10.0
10/4/21,4.0,14.0
10/5/21,3.0,10.0
10/6/21,3.0,22.0
10/7/21,6.0,15.0
10/8/21,5.0,17.0
10/9/21,2.0,13.0
10/10/21,4.0,11.0
10/11/21,6.0,11.0
10/12/21,7.0,18.0
10/13/21,6.0,11.0
10/14/21,3.0,21.0
10/15/21,4.0,22.0
10/16/21,8.0,41.0
10/17/21,10.0,64.0
10/18/21,7.0,42.0
10/19/21,8.0,67.0
10/20/21,11.0,54.0
10/21/21,10.0,71.0
10/22/21,11.0,54.0
10/23/21,14.0,56.0
10/24/21,10.0,37.0
10/25/21,14.0,43.0
10/26/21,12.0,44.0
10/27/21,7.0,45.0
10/28/21,7.0,26.0
10/29/21,7.0,26.0
10/30/21,12.0,34.0
10/31/21,8.0,31.0
11/1/21,9.0,29.0
11/2/21,13.0,33.0
11/3/21,9.0,21.0
11/4/21,8.0,25.0
11/5/21,15.0,23.0
11/6/21,6.0,25.0
11/7/21,8.0,25.0
11/8/21,6.0,24.0
11/9/21,8.0,29.0
11/10/21,10.0,33.0
11/11/21,5.0,21.0
11/12/21,11.0,21.0
11/13/21,3.0,13.0
11/14/21,6.0,27.0
11/15/21,7.0,18.0
11/16/21,4.0,23.0
11/17/21,10.0,20.0
11/18/21,9.0,15.0
11/19/21,5.0,22.0
11/20/21,5.0,23.0
11/21/21,2.0,25.0
11/22/21,6.0,25.0
11/23/21,7.0,29.0
11/24/21,6.0,16.0
11/25/21,5.0,19.0
11/26/21,7.0,19.0
11/27/21,6.0,14.0
11/28/21,2.0,17.0
11/29/21,1.0,21.0
11/30/21,7.0,17.0
12/1/21,5.0,15.0
12/2/21,3.0,16.0
12/3/21,5.0,17.0
12/4/21,1.0,17.0
12/5/21,5.0,18.0
12/6/21,4.0,12.0
12/7/21,3.0,12.0
12/8/21,8.0,18.0
12/9/21,1.0,17.0
12/10/21,3.0,14.0
12/11/21,4.0,12.0
12/12/21,4.0,14.0
12/13/21,6.0,12.0
12/14/21,3.0,16.0
12/15/21,2.0,15.0
12/16/21,7.0,27.0
12/17/21,3.0,14.0
12/18/21,8.0,19.0
12/19/21,5.0,20.0
12/20/21,2.0,32.0
12/21/21,3.0,26.0
12/22/21,7.0,18.0
12/23/21,5.0,26.0
12/24/21,4.0,18.0
12/25/21,8.0,17.0
12/26/21,6.0,15.0
12/27/21,3.0,24.0
12/28/21,9.0,23.0
12/29/21,3.0,15.0
12/30/21,8.0,23.0
12/31/21,2.0,17.0
1/1/22,5.0,27.0
1/2/22,3.0,24.0
1/3/22,9.0,19.0
1/4/22,8.0,30.0
1/5/22,15.0,26.0
1/6/22,8.0,24.0
1/7/22,12.0,38.0
1/8/22,9.0,29.0
1/9/22,8.0,47.0
1/10/22,14.0,43.0
1/11/22,9.0,27.0
1/12/22,13.0,32.0
1/13/22,8.0,37.0
1/14/22,5.0,32.0
1/15/22,10.0,21.0
1/16/22,3.0,26.0
1/17/22,9.0,18.0
1/18/22,8.0,28.0
1/19/22,5.0,17.0
1/20/22,5.0,20.0
1/21/22,7.0,22.0
1/22/22,7.0,21.0
1/23/22,4.0,23.0
1/24/22,7.0,18.0
1/25/22,9.0,21.0
1/26/22,4.0,17.0
1/27/22,9.0,20.0
1/28/22,5.0,18.0
1/29/22,9.0,30.0
1/30/22,15.0,38.0
1/31/22,13.0,35.0
2/1/22,7.0,22.0
2/2/22,2.0,30.0
2/3/22,11.0,30.0
2/4/22,7.0,33.0
2/5/22,3.0,25.0
2/6/22,3.0,13.0
2/7/22,10.0,21.0
2/8/22,3.0,31.0
2/9/22,8.0,16.0
2/10/22,4.0,18.0
2/11/22,12.0,12.0
2/12/22,9.0,29.0
2/13/22,12.0,48.0
2/14/22,6.0,38.0
2/15/22,14.0,27.0
2/16/22,10.0,11.0
2/17/22,6.0,25.0
2/18/22,7.0,23.0
2/19/22,5.0,32.0
2/20/22,13.0,34.0
2/21/22,10.0,24.0
2/22/22,12.0,27.0
2/23/22,9.0,24.0
2/24/22,11.0,30.0
2/25/22,9.0,23.0
2/26/22,7.0,20.0
2/27/22,14.0,17.0
2/28/22,15.0,13.0
3/1/22,8.0,16.0
3/2/22,5.0,15.0
3/3/22,9.0,25.0
3/4/22,5.0,20.0
3/5/22,9.0,20.0
3/6/22,6.0,12.0
3/7/22,11.0,26.0
3/8/22,7.0,14.0
3/9/22,9.0,25.0
3/10/22,10.0,14.0
3/11/22,9.0,18.0
3/12/22,8.0,16.0
3/13/22,4.0,13.0
3/14/22,5.0,8.0
3/15/22,6.0,14.0
3/16/22,6.0,18.0
3/17/22,5.0,10.0
3/18/22,2.0,14.0
3/19/22,9.0,7.0
3/20/22,5.0,8.0
3/21/22,5.0,12.0
3/22/22,11.0,15.0
3/23/22,11.0,9.0
3/24/22,8.0,15.0
3/25/22,11.0,18.0
3/26/22,9.0,14.0
3/27/22,5.0,21.0
3/28/22,6.0,19.0
3/29/22,7.0,18.0
3/30/22,5.0,18.0
3/31/22,10.0,15.0
4/1/22,4.0,12.0
4/2/22,3.0,8.0
4/3/22,8.0,10.0
4/4/22,4.0,13.0
4/5/22,6.0,11.0
4/6/22,5.0,21.0
4/7/22,7.0,12.0
4/8/22,5.0,10.0
4/9/22,8.0,11.0
4/10/22,6.0,18.0
4/11/22,7.0,19.0
4/12/22,6.0,14.0
4/13/22,7.0,13.0
4/14/22,4.0,8.0
4/15/22,7.0,11.0
4/16/22,6.0,5.0
4/17/22,4.0,12.0
4/18/22,4.0,10.0
4/19/22,8.0,20.0
4/20/22,7.0,12.0
4/21/22,5.0,10.0
4/22/22,6.0,12.0
4/23/22,7.0,15.0
4/24/22,12.0,7.0
4/25/22,9.0,13.0
4/26/22,5.0,12.0
4/27/22,7.0,8.0
4/28/22,9.0,14.0
4/29/22,6.0,10.0
4/30/22,6.0,6.0
5/1/22,4.0,8.0
5/2/22,3.0,2.0
5/3/22,3.0,11.0
5/4/22,3.0,12.0
5/5/22,2.0,9.0
5/6/22,5.0,7.0
5/7/22,3.0,10.0
5/8/22,3.0,8.0
5/9/22,4.0,8.0
5/10/22,8.0,12.0
